2023-09-28 17:06: attention_dropout: 0.3
2023-09-28 17:06: batch_size: 128
2023-09-28 17:06: cuda: True
2023-09-28 17:06: dataset: 'ogbn-products'
2023-09-28 17:06: debug: False
2023-09-28 17:06: device: 'cuda:2'
2023-09-28 17:06: dropout: 0.5
2023-09-28 17:06: encoder_attention_heads: 8
2023-09-28 17:06: encoder_embed_dim: 512
2023-09-28 17:06: encoder_ffn_embed_dim: 256
2023-09-28 17:06: encoder_normalize_before: False
2023-09-28 17:06: epoch: 1000
2023-09-28 17:06: gnn_hidden_dim: 512
2023-09-28 17:06: gw_ratio: 0.3
2023-09-28 17:06: init_memory: False
2023-09-28 17:06: log_dir: 'experiments_rebuttal'
2023-09-28 17:06: log_step: 20
2023-09-28 17:06: lr: 0.001
2023-09-28 17:06: mem_slots: 16
2023-09-28 17:06: mode: 'train'
2023-09-28 17:06: model: 'GCN_GW'
2023-09-28 17:06: node2vec_emb_dim: 128
2023-09-28 17:06: null_attention: False
2023-09-28 17:06: num_layers: 2
2023-09-28 17:06: num_parts: 15000
2023-09-28 17:06: num_steps: 3
2023-09-28 17:06: regressive: False
2023-09-28 17:06: seed: 1
2023-09-28 17:06: self_attention: True
2023-09-28 17:06: shared_memory_attention: True
2023-09-28 17:06: test_ratio: 0.2
2023-09-28 17:06: topk: 3
2023-09-28 17:06: topk_ratio: 1.0
2023-09-28 17:06: train_ratio: 0.6
2023-09-28 17:06: use_nfm: False
2023-09-28 17:06: use_topk: False
2023-09-28 17:06: valid_ratio: 0.2
2023-09-28 23:27: test acc: 0.8923085927963257
2023-09-28 23:34: epoch:559/1000 loss: 0.306206649937087
2023-09-28 23:34: test acc: 0.8917083740234375
2023-09-28 23:41: epoch:569/1000 loss: 0.30624644598500517
2023-09-28 23:41: test acc: 0.8918125033378601
2023-09-28 23:48: epoch:579/1000 loss: 0.30636058908962543
2023-09-28 23:48: test acc: 0.8926311731338501
2023-09-28 23:55: epoch:589/1000 loss: 0.3055425865725291
2023-09-28 23:55: test acc: 0.8914980888366699
2023-09-29 00:02: epoch:599/1000 loss: 0.30589015220192056
2023-09-29 00:02: test acc: 0.89210444688797
2023-09-29 00:09: epoch:609/1000 loss: 0.3052804566253442
2023-09-29 00:09: test acc: 0.8917573690414429
2023-09-29 00:16: epoch:619/1000 loss: 0.30603653378175066
2023-09-29 00:16: test acc: 0.8918063640594482
2023-09-29 00:23: epoch:629/1000 loss: 0.304791845303373
2023-09-29 00:23: test acc: 0.8921003937721252
2023-09-29 00:30: epoch:639/1000 loss: 0.3055498403766348
2023-09-29 00:30: test acc: 0.8917369842529297
2023-09-29 00:37: epoch:649/1000 loss: 0.3050570320173336
2023-09-29 00:37: test acc: 0.8919023275375366
2023-09-29 00:44: epoch:659/1000 loss: 0.30472492689086045
2023-09-29 00:44: test acc: 0.8916675448417664
2023-09-29 00:51: epoch:669/1000 loss: 0.30418849359998307
2023-09-29 00:51: test acc: 0.8921555280685425
2023-09-29 00:58: epoch:679/1000 loss: 0.30388188086784895
2023-09-29 00:58: test acc: 0.8916900157928467
2023-09-29 01:05: epoch:689/1000 loss: 0.3039596639770535
2023-09-29 01:05: test acc: 0.8920269012451172
2023-09-29 01:12: epoch:699/1000 loss: 0.3035049568148731
2023-09-29 01:12: test acc: 0.8921738862991333
2023-09-29 01:19: epoch:709/1000 loss: 0.3039117894425212
2023-09-29 01:19: test acc: 0.8917288184165955
2023-09-29 01:26: epoch:719/1000 loss: 0.303690256889561
2023-09-29 01:26: test acc: 0.8916859030723572
2023-09-29 01:33: epoch:729/1000 loss: 0.3034415258750074
2023-09-29 01:33: test acc: 0.8921800255775452
2023-09-29 01:40: epoch:739/1000 loss: 0.3029714245296728
2023-09-29 01:40: test acc: 0.8913960456848145
2023-09-29 01:46: epoch:749/1000 loss: 0.30350242423815205
2023-09-29 01:46: test acc: 0.8917206525802612
2023-09-29 01:53: epoch:759/1000 loss: 0.3030864767675724
2023-09-29 01:53: test acc: 0.8916818499565125
2023-09-29 02:01: epoch:769/1000 loss: 0.30205501970598825
2023-09-29 02:01: test acc: 0.8921269178390503
2023-09-29 02:08: epoch:779/1000 loss: 0.3026725056700297
2023-09-29 02:08: test acc: 0.891998291015625
2023-09-29 02:14: epoch:789/1000 loss: 0.3023888599718452
2023-09-29 02:14: test acc: 0.891998291015625
2023-09-29 02:22: epoch:799/1000 loss: 0.3022725486388564
2023-09-29 02:22: test acc: 0.8917573690414429
2023-09-29 02:28: epoch:809/1000 loss: 0.30271085273382065
2023-09-29 02:28: test acc: 0.8915491104125977
2023-09-29 02:35: epoch:819/1000 loss: 0.30341181369237596
2023-09-29 02:35: test acc: 0.8915348649024963
2023-09-29 02:42: epoch:829/1000 loss: 0.3017241083023622
2023-09-29 02:42: test acc: 0.8910816311836243
2023-09-29 02:50: epoch:839/1000 loss: 0.3019791896906307
